Genes	log2FoldChange	pvalue
GFRA1	-3.13674168	0.388355435
CCDC172	NA	NA
PNLIPRP3	2.816603789	0.482425361
LOC102404257	NA	NA
LOC102404578	NA	NA
LOC123331438	NA	NA
LOC102404903	-2.17961087	0.58371986
C23H10orf82	NA	NA
LOC123331373	NA	NA
KCNK18	NA	NA
TRNAE-CUC_60	NA	NA
LOC123331474	NA	NA
LOC123331473	NA	NA
LOC112581570	3.611097704	0.331107999
LOC123331315	NA	NA
LOC123331387	NA	NA
LOC123331388	NA	NA
LOC123331320	NA	NA
LOC123331325	NA	NA
PRLHR	NA	NA
LOC123331375	-2.917056863	0.446297175
LOC102392693	-1.11340814	0.783574824
LOC123331416	-1.462228591	0.716232288
LOC123331414	-1.690498551	0.67302499
LOC123331437	NA	NA
LOC112581581	-1.462228591	0.716232288
LOC123465311	NA	NA
LOC112581666	NA	NA
LOC112581625	NA	NA
TRNAG-CCC_211	NA	NA
LOC112581526	3.611097704	0.331107999
TRNAC-GCA_232	NA	NA
LOC123331379	NA	NA
LOC123331311	NA	NA
LOC112581602	NA	NA
LOC123331350	NA	NA
LOC112581670	-0.294465502	0.941897269
LOC112581540	NA	NA
LOC123465321	NA	NA
LOC112577723	NA	NA
TRNAC-GCA_233	NA	NA
LOC102396169	NA	NA
C23H10orf120	NA	NA
LOC123331462	NA	NA
TRNAQ-UUG_14	NA	NA
LOC102410951	NA	NA
LOC102411621	NA	NA
LOC123331340	-1.462228591	0.716232288
LOC112581669	NA	NA
LOC112581599	NA	NA
LOC123331301	NA	NA
GPR26	NA	NA
LOC123331300	1.543863118	0.705167655
LOC123331413	NA	NA
LOC112581665	NA	NA
LOC123331306	1.934278994	0.412419789
LOC112581636	-0.460441839	0.907262578
LOC123331411	NA	NA
LOC112581676	NA	NA
LOC123331398	NA	NA
TEX36	NA	NA
LOC123331395	NA	NA
LOC123331377	NA	NA
LOC112581646	NA	NA
LOC112581580	-1.11340814	0.783574824
LOC123331451	-2.639185819	0.427653191
TRNAE-CUC_61	-1.820541788	0.648805392
C23H10orf90	NA	NA
NPS	NA	NA
FOXI2	-1.256246514	0.755843708
CLRN3	NA	NA
LOC123331363	NA	NA
LOC123331348	3.548517961	0.343619417
LOC123465313	-1.256246514	0.755843708
LOC112581588	-1.462228591	0.716232288
LOC102395990	3.249319242	0.414680485
LOC123331374	NA	NA
LOC123465314	NA	NA
LOC123331454	-2.29813064	0.562884985
LOC112581536	NA	NA
LOC123331448	NA	NA
LOC123331345	NA	NA
LOC102405198	NA	NA
TRNAF-GAA_42	NA	NA
LOC123331391	NA	NA
LOC123331361	NA	NA
TRNAC-ACA_228	NA	NA
LOC112581622	NA	NA
TCERG1L	NA	NA
LOC123331430	NA	NA
LOC123331342	NA	NA
LOC102404996	NA	NA
LOC112581607	NA	NA
LOC112581582	NA	NA
LOC102404784	3.249319242	0.414680485
TRNAG-GCC_65	NA	NA
LOC123331461	NA	NA
LOC112581656	-1.11340814	0.783574824
LOC123331383	-0.998531789	0.74310876
LOC123465315	3.249319242	0.414680485
LOC112581561	NA	NA
LOC112581529	0.527406168	0.895754499
LOC102401365	NA	NA
UTF1	-1.256246514	0.755843708
LOC123331303	NA	NA
PRAP1	NA	NA
SPRN	-0.379690234	0.925863404
LOC123331304	3.611097704	0.331107999
LOC102400396	NA	NA
LOC102400069	NA	NA
LOC102399737	3.524888628	0.351568626
LOC123331324	NA	NA
LOC112581542	NA	NA
LOC112581619	-2.420486441	0.54174592
LOC102399078	NA	NA
LOC102398434	NA	NA
LOC112581538	NA	NA
LOC102416619	NA	NA
SYCE1	3.249319242	0.414680485
LOC102398110	NA	NA
LOC102407860	-1.462228591	0.716232288
LOC123331634	NA	NA
LOC123331498	1.178994173	0.705332783
TRNAW-CCA_170	NA	NA
LOC102395637	2.80453668	0.484396257
LOC123465345	NA	NA
LOC112581832	-1.462228591	0.716232288
LOC123331605	3.611097704	0.331107999
UNCX	NA	NA
LOC123331627	NA	NA
LOC112581806	NA	NA
LOC123331523	-1.11340814	0.783574824
ELFN1	-3.133241101	0.387645987
LOC123331562	-0.379690234	0.925863404
GRIFIN	-3.494373371	0.193604719
LOC123331607	NA	NA
LOC112581771	NA	NA
LOC123331577	NA	NA
LOC123331581	NA	NA
LOC123331645	3.548517961	0.343619417
LOC123331648	3.626341506	0.331393555
TRNAE-CUC_62	NA	NA
TRNAS-GGA_116	NA	NA
LOC123331567	NA	NA
MMD2	-3.200833994	0.372451353
LOC123331569	NA	NA
TRNAG-UCC_142	NA	NA
LOC102390572	NA	NA
LOC112581730	NA	NA
LOC102402305	NA	NA
LOC123331622	NA	NA
LOC112581727	NA	NA
LOC102402623	NA	NA
LOC123465346	-1.11340814	0.783574824
LOC102404228	0.527406168	0.895754499
TRNAC-GCA_234	NA	NA
LOC112581904	-1.295603704	0.748236892
FAM220A	NA	NA
TRNAG-CCC_212	NA	NA
LOC112581728	0.372551549	0.89968749
LOC112581729	NA	NA
LOC102397659	NA	NA
LOC123331513	NA	NA
LOC123331596	NA	NA
TMEM130	NA	NA
LOC123331571	NA	NA
LOC102398503	3.548517961	0.343619417
LOC112581775	-1.256246514	0.755843708
LOC123331544	NA	NA
TRNAW-CCA_171	NA	NA
LOC102405595	0.582090446	0.886564479
LOC102413881	-2.29813064	0.562884985
GJC3	2.816603789	0.482425361
AZGP1	0.12838509	0.972800662
LOC123465351	1.676989782	0.573416243
LOC123331603	NA	NA
LOC102412896	NA	NA
LOC102413566	-1.256246514	0.755843708
LOC102410880	2.601054958	0.518260718
TRNAH-GUG_26	-1.256246514	0.755843708
LOC112581905	-1.462228591	0.716232288
LOC112581908	NA	NA
ACTL6B	1.261122482	0.755630334
EPO	-1.462228591	0.716232288
ZAN	1.543863118	0.705167655
LOC112581857	4.246712121	0.180217455
LOC102400657	NA	NA
LOC123331524	NA	NA
LOC123331572	NA	NA
LOC102408548	NA	NA
LOC102393438	NA	NA
LOC123331590	NA	NA
LOC102396022	NA	NA
LOC102395348	NA	NA
LOC112577784	NA	NA
LOC112581855	NA	NA
LOC123331636	1.232320323	0.686978497
TRNAG-CCC_213	NA	NA
TRNAE-UUC_168	NA	NA
MYL10	-2.101251148	0.597680028
LOC102413047	-1.462228591	0.716232288
TRNAG-UCC_143	NA	NA
ZP3	-1.11340814	0.783574824
SSC4D	-1.462228591	0.716232288
LOC112581774	-0.379690234	0.925863404
LOC123331587	NA	NA
TRNAG-CCC_214	NA	NA
LOC123331580	NA	NA
TRNAG-CCC_215	NA	NA
LOC123331630	0.604657868	0.868645839
LOC123331631	NA	NA
LOC112581867	-1.462228591	0.716232288
TRNAY-GUA_65	NA	NA
LOC102394247	-1.11340814	0.783574824
LOC123331506	-2.055097825	0.605968813
TMEM270	NA	NA
LOC112581740	NA	NA
LOC123331642	-1.11340814	0.783574824
LOC112581929	-3.463207336	0.210245303
LOC123331652	NA	NA
LOC102412050	NA	NA
TRNAE-CUC_63	NA	NA
TRNAG-GCC_66	NA	NA
LOC123465338	NA	NA
LOC123331548	NA	NA
LOC123465353	NA	NA
LOC123331536	3.195691128	0.422758247
LOC123331533	-1.462228591	0.716232288
LOC123331531	0.864093905	0.758233776
LOC123331534	NA	NA
LOC123331655	NA	NA
TRNAM-CAU_32	NA	NA
LOC123465350	2.222896913	0.583297934
LOC123331644	-1.690498551	0.67302499
LOC102398755	0.562691153	NA
LOC112581902	NA	NA
LOC123331508	NA	NA
TRNAE-CUC_64	NA	NA
SEPTIN14	-1.256246514	0.755843708
LOC102400066	NA	NA
LOC102400395	NA	NA
LOC102395257	-3.37005389	0.327006785
TRNAG-UCC_144	NA	NA
LOC123331639	3.249319242	0.414680485
STX1B	2.476355895	0.354708781
LOC123331641	2.816603789	0.482425361
LOC112581907	NA	NA
TRNAR-UCG_7	NA	NA
TRNAQ-UUG_15	NA	NA
TRNAR-UCG_8	NA	NA
MYLPF	-2.29813064	0.562884985
TRNAG-UCC_145	NA	NA
LOC112581912	NA	NA
ZG16	NA	NA
TRNAW-CCA_172	-0.379690234	0.925863404
SEZ6L2	NA	NA
LOC123465337	-2.17961087	0.58371986
C24H16orf92	NA	NA
TLCD3B	-2.565034621	0.447485685
LOC102409134	-0.379690234	0.925863404
GSG1L	-3.253400762	0.409029094
TRNAG-UCC_146	1.543863118	0.705167655
TRNAG-UCC_147	NA	NA
LOC102393771	NA	NA
LOC123331584	NA	NA
C24H16orf82	NA	NA
LOC123465334	-1.462228591	0.716232288
LOC123331578	NA	NA
TRNAD-AUC_2	NA	NA
LOC123331505	NA	NA
HS3ST4	NA	NA
TRNAC-GCA_235	NA	NA
TRNAG-CCC_216	NA	NA
LOC123331591	NA	NA
SLC5A11	-1.220438339	0.724558955
LOC123331516	NA	NA
TRNAC-ACA_229	NA	NA
LOC123331551	NA	NA
CACNG3	NA	NA
TRNAM-CAU_33	NA	NA
TRNAG-CCC_217	NA	NA
TRNAE-UUC_169	-0.379690234	0.925863404
TRNAE-CUC_65	NA	NA
LOC112581903	-2.055097825	0.605968813
LOC112581798	NA	NA
HS3ST2	-2.819382664	0.470996046
LOC123331539	NA	NA
OTOA	NA	NA
LOC102397547	NA	NA
TRNAW-CCA_173	-2.25446278	0.570521336
TRNAL-AAG_11	2.816603789	0.482425361
SDR42E2	0.752999453	0.827810636
LOC112581911	NA	NA
LOC112581878	0.772318069	0.845024603
LOC102404003	1.576947148	0.591041839
LOC102413010	NA	NA
LOC123331500	NA	NA
ANKS4B	-3.575098651	0.363458487
ZP2	-0.227508445	0.940272852
TRNAR-CCU_42	NA	NA
ACSM4	2.733119264	0.49614758
LOC123465357	NA	NA
LOC123331610	NA	NA
LOC112581868	NA	NA
LOC123465352	NA	NA
TRNAG-UCC_148	NA	NA
LOC102412341	NA	NA
ACSM5	NA	NA
PDILT	NA	NA
UMOD	NA	NA
GP2	NA	NA
LOC123331593	NA	NA
CLEC19A	NA	NA
LOC112581830	NA	NA
LOC112581813	NA	NA
LOC112581791	NA	NA
LOC112581807	NA	NA
LOC123331563	NA	NA
TRNAG-CCC_218	-2.420486441	0.54174592
LOC123331511	NA	NA
BMERB1	-2.25446278	0.570521336
TRNAG-UCC_149	NA	NA
LOC123331540	-2.681662326	0.497960182
MPV17L	NA	NA
LOC123331570	NA	NA
TRNAT-CGU_4	NA	NA
LOC102395383	-0.643418234	0.84038974
TRNAG-CCC_219	NA	NA
LOC123331527	NA	NA
LOC102401265	-1.462228591	0.716232288
TRNAE-UUC_170	NA	NA
LOC123331561	NA	NA
LOC123331542	NA	NA
TRNAC-GCA_236	NA	NA
SHISA9	NA	NA
TRNAG-CCC_220	NA	NA
LOC123331528	NA	NA
LOC123331553	-0.041179926	0.987153605
LOC123331555	-2.582485697	0.514365981
LOC123331554	-1.462228591	0.716232288
TRNAR-CCU_43	NA	NA
LOC123331556	4.05188076	0.136457403
LOC123331557	NA	NA
LOC123331558	3.611097704	0.331107999
LOC123331559	NA	NA
LOC102413151	NA	NA
LOC123331600	-1.256246514	0.755843708
PRM3	NA	NA
TNP2	-1.256246514	0.755843708
LOC123331499	NA	NA
TEKT5	NA	NA
LOC123331592	NA	NA
TRNAE-UUC_171	NA	NA
LOC123465356	NA	NA
LOC123331503	NA	NA
LOC123331502	NA	NA
TRNAR-CCU_44	NA	NA
LOC112581913	NA	NA
LOC123331515	NA	NA
LITAFD	NA	NA
LOC112581750	NA	NA
TRNAY-GUA_66	NA	NA
LOC123331611	NA	NA
TRNAE-CUC_66	NA	NA
LOC123331549	NA	NA
LOC123331550	NA	NA
RBFOX1	4.219488318	0.186462271
LOC123331598	NA	NA
LOC123331597	NA	NA
TRNAC-ACA_230	NA	NA
LOC112581915	NA	NA
TRNAG-CCC_222	NA	NA
LOC123464526	NA	NA
LOC123327567	3.716841566	0.348242323
LOC123331575	NA	NA
LOC123331576	-1.11340814	0.783574824
LOC102395720	NA	NA
C24H16orf89	3.611097704	0.331107999
TRNAA-AGC_28	NA	NA
SEPTIN12	NA	NA
LOC123331608	3.195691128	0.422758247
C24H16orf90	1.543863118	0.705167655
ZNF597	NA	NA
ZSCAN32	NA	NA
LOC112581896	NA	NA
LOC112581906	NA	NA
LOC112581910	NA	NA
LOC102394449	NA	NA
LOC112581901	NA	NA
LOC112581787	NA	NA
LOC112581916	NA	NA
LOC102393795	NA	NA
TRNAK-CUU_17	NA	NA
TRNAR-CCU_45	2.816603789	0.482425361
TRNAP-AGG_8	-0.379690234	0.925863404
TRNAK-CUU_18	NA	NA
TRNAP-AGG_9	NA	NA
TRNAP-UGG_3	NA	NA
TRNAK-CUU_19	NA	NA
TRNAP-UGG_4	NA	NA
TRNAK-CUU_20	NA	NA
TRNAP-AGG_10	NA	NA
TRNAP-UGG_5	NA	NA
TRNAK-CUU_21	NA	NA
TRNAP-AGG_11	NA	NA
TRNAP-UGG_6	NA	NA
TRNAK-CUU_22	NA	NA
TRNAP-AGG_12	-0.379690234	0.925863404
TRNAP-UGG_7	-0.379690234	0.925863404
TRNAK-CUU_23	NA	NA
TRNAR-CCU_46	NA	NA
TRNAK-CUU_24	NA	NA
TRNAK-CUU_25	-1.462228591	0.716232288
TRNAK-CUU_26	NA	NA
TRNAP-AGG_13	-2.055097825	0.605968813
TRNAK-CUU_27	NA	NA
TRNAP-AGG_14	-1.361945078	0.735453445
LOC123331566	NA	NA
TRNAP-UGG_8	NA	NA
TRNAK-CUU_28	1.807710468	0.481021087
LOC102401048	3.611097704	0.331107999
TRNAR-CCG_5	NA	NA
ZSCAN10	NA	NA
LOC123331632	NA	NA
LOC102392870	-0.348476814	0.882356212
CLDN9	-1.11340814	0.783574824
KREMEN2	-1.462228591	0.716232288
LOC123331615	NA	NA
LOC123331616	NA	NA
LOC123331617	NA	NA
LOC102395529	4.221540986	0.193220195
LOC102395200	NA	NA
LOC123331579	NA	NA
LOC102410832	3.249319242	0.414680485
TRNAE-CUC_67	NA	NA
LOC123331613	NA	NA
TRNAG-CCC_223	-2.94577832	0.438952419
BRICD5	2.816603789	0.482425361
LOC123331614	NA	NA
NPW	-2.788109327	0.479108883
RPL3L	2.816603789	0.482425361
MEIOB	-2.25446278	0.570521336
PTX4	NA	NA
CCDC154	3.249319242	0.414680485
PERCC1	NA	NA
LOC102389905	NA	NA
LOC102414822	NA	NA
LOC123331521	NA	NA
LOC112581768	NA	NA
TEKT4	NA	NA
C1QTNF8	NA	NA
SSTR5	-2.838732083	0.472552848
TRNAG-CCC_224	NA	NA
SOX8	4.191491166	0.195848481
LOC123465349	-0.379690234	0.925863404
GNG13	NA	NA
TRNAG-CCC_225	NA	NA
NHLRC4	-3.176861951	0.373904238
ARHGDIG	NA	NA
LOC123331813	NA	NA
LOC123331810	NA	NA
LOC123331886	NA	NA
SHOX	NA	NA
LOC123331831	NA	NA
LOC123331743	-3.191066286	0.277961787
LOC123465379	2.601054958	0.518260718
P2RY8	2.130054222	0.541475891
LOC112582428	-1.820541788	0.648805392
LOC112582283	NA	NA
TRNAG-UCC_150	NA	NA
ARSH	-0.244446386	0.946573495
LOC123331745	NA	NA
LOC123331746	3.416502768	0.39009539
LOC123331825	NA	NA
LOC123331826	NA	NA
LOC102391039	NA	NA
LOC112582177	NA	NA
LOC112582285	NA	NA
LOC112582153	NA	NA
LOC123332006	NA	NA
LOC102393892	NA	NA
LOC102394223	NA	NA
LOC102396043	NA	NA
LOC102394526	NA	NA
LOC123331822	NA	NA
NLGN4X	-0.009419605	0.997325386
LOC112582384	NA	NA
TRNAS-GGA_118	NA	NA
LOC123332002	-0.472809274	0.865043828
LOC112582390	NA	NA
TRNAG-CCC_226	NA	NA
TRNAC-GCA_237	NA	NA
TRNAC-GCA_238	NA	NA
LOC112582117	NA	NA
LOC112582389	3.832585173	0.272421575
LOC102404166	NA	NA
LOC123331716	NA	NA
LOC123331904	NA	NA
CLDN34	NA	NA
LOC123331849	NA	NA
LOC112582680	NA	NA
LOC112582838	NA	NA
LOC112582443	NA	NA
LOC123465408	-3.063566139	0.437455996
LOC123331797	-0.379690234	0.925863404
LOC123331965	NA	NA
LOC102390884	NA	NA
LOC102390225	NA	NA
LOC112582376	-2.055097825	0.605968813
LOC112582240	NA	NA
LOC112582467	NA	NA
LOC123331789	NA	NA
GLRA2	NA	NA
TRNAG-CCC_227	NA	NA
LOC123331987	NA	NA
LOC123331865	-0.383298819	0.896461772
LOC112582114	-1.11340814	0.783574824
TRNAS-GGA_119	NA	NA
LOC102395959	NA	NA
GRPR	2.816603789	0.482425361
LOC112582380	NA	NA
LOC102396462	NA	NA
TRNAC-ACA_231	NA	NA
TRNAG-CCC_228	-1.11340814	0.783574824
LOC123331933	0.398629957	0.86835675
LOC112582374	NA	NA
LOC112582470	NA	NA
LOC112582375	NA	NA
LOC112582368	NA	NA
LOC112582371	NA	NA
LOC123331851	NA	NA
LOC102409648	0.398629957	0.86835675
LOC123331894	-1.462228591	0.716232288
LOC123331951	NA	NA
BEND2	NA	NA
RS1	0.582090446	0.886564479
TRNAF-GAA_43	NA	NA
TRNAF-GAA_44	NA	NA
TRNAF-GAA_45	NA	NA
TRNAF-GAA_46	NA	NA
TRNAF-GAA_47	NA	NA
TRNAF-GAA_48	NA	NA
TRNAF-GAA_49	NA	NA
TRNAF-GAA_50	NA	NA
TRNAF-GAA_51	NA	NA
TRNAF-GAA_52	NA	NA
TRNAF-GAA_53	NA	NA
TRNAF-GAA_54	NA	NA
TRNAF-GAA_55	NA	NA
TRNAF-GAA_56	NA	NA
TRNAF-GAA_57	NA	NA
TRNAF-GAA_58	NA	NA
TRNAF-GAA_59	NA	NA
TRNAF-GAA_60	NA	NA
TRNAF-GAA_61	NA	NA
TRNAF-GAA_62	NA	NA
TRNAF-GAA_63	NA	NA
TRNAF-GAA_64	NA	NA
TRNAF-GAA_65	NA	NA
TRNAF-GAA_66	NA	NA
TRNAF-GAA_67	NA	NA
TRNAF-GAA_68	NA	NA
TRNAF-GAA_69	NA	NA
TRNAF-GAA_70	NA	NA
TRNAF-GAA_71	NA	NA
TRNAF-GAA_72	NA	NA
TRNAF-GAA_73	NA	NA
TRNAF-GAA_74	NA	NA
TRNAF-GAA_75	NA	NA
TRNAF-GAA_76	NA	NA
TRNAF-GAA_77	NA	NA
TRNAF-GAA_78	NA	NA
TRNAF-GAA_79	NA	NA
TRNAF-GAA_80	NA	NA
TRNAF-GAA_81	-0.379690234	0.925863404
TRNAF-GAA_83	NA	NA
TRNAF-GAA_84	NA	NA
TRNAF-GAA_85	NA	NA
TRNAF-GAA_86	NA	NA
TRNAV-UAC_14	1.543863118	0.705167655
LOC123331727	3.796271327	0.282773568
TRNAG-UCC_152	NA	NA
TRNAG-UCC_153	NA	NA
LOC102412146	-0.379690234	0.925863404
LOC112582442	NA	NA
LOC123331857	NA	NA
LOC102411299	NA	NA
LOC112582667	NA	NA
LOC112582211	NA	NA
LOC123331947	NA	NA
LOC123332001	NA	NA
LOC102408293	0.178583512	0.964335249
LOC112582200	-0.643418234	0.84038974
LOC112582338	NA	NA
LOC112582337	3.195691128	0.422758247
TRNAG-GCC_67	NA	NA
LOC112582445	NA	NA
AMELX	3.796271327	0.282773568
LOC112582833	NA	NA
LOC123327539	NA	NA
LOC123331888	NA	NA
LOC123465419	NA	NA
LOC112582358	NA	NA
LOC112582188	2.123137467	0.449740981
LOC123331998	3.832585173	0.272421575
LOC123331997	NA	NA
LOC102396281	-3.443920452	0.208096122
LOC112577786	1.634206249	0.65818244
LOC123331972	NA	NA
LOC112582468	NA	NA
LOC112582310	NA	NA
LOC102408893	NA	NA
LOC112582312	-2.713296352	0.492785796
LOC123331773	1.505806105	0.517872917
LOC123331772	NA	NA
LOC102412708	0.098731755	0.979358342
LOC123465365	-0.294465502	0.941897269
LOC112582128	NA	NA
LOC123331921	3.140310767	0.431196302
LOC123465397	NA	NA
MAP7D2	3.611097704	0.331107999
TRNAG-CCC_229	NA	NA
LOC123332018	NA	NA
LOC102404247	NA	NA
LOC112582453	NA	NA
KLHL34	1.549397223	0.61735514
LOC112582456	NA	NA
LOC102403295	NA	NA
LOC102398228	NA	NA
LOC123331902	NA	NA
LOC123332046	NA	NA
LOC102409854	NA	NA
LOC112582204	NA	NA
LOC123332047	NA	NA
LOC112582213	NA	NA
LOC123465364	NA	NA
LOC123332044	NA	NA
LOC123332048	NA	NA
LOC123332045	NA	NA
LOC112582081	-1.462228591	0.716232288
TRNAE-UUC_172	-1.462228591	0.716232288
LOC112582323	NA	NA
CXHXorf58	1.232320323	0.686978497
LOC112582385	NA	NA
LOC112582420	-1.11340814	0.783574824
ARX	NA	NA
LOC123331785	NA	NA
LOC123331764	NA	NA
LOC123331767	NA	NA
LOC102412869	NA	NA
LOC102412546	NA	NA
LOC102392200	NA	NA
LOC123331949	NA	NA
LOC112582382	NA	NA
LOC112582019	NA	NA
LOC102410285	NA	NA
LOC112582400	NA	NA
LOC102413481	NA	NA
LOC112582231	NA	NA
LOC102400968	NA	NA
LOC112582224	NA	NA
LOC123331980	NA	NA
LOC112582266	NA	NA
LOC112582174	NA	NA
LOC112582296	NA	NA
LOC123331984	NA	NA
LOC123331981	NA	NA
LOC112582175	NA	NA
LOC123331877	NA	NA
LOC123465407	NA	NA
LOC123331776	NA	NA
LOC112582413	NA	NA
TRNAG-CCC_230	NA	NA
TRNAC-GCA_239	NA	NA
LOC102409479	NA	NA
LOC102409726	NA	NA
LOC102409389	NA	NA
LOC112582217	NA	NA
LOC123331875	NA	NA
LOC123331950	NA	NA
LOC123331800	NA	NA
LOC123331801	NA	NA
TRNAV-CAC_25	NA	NA
IL1RAPL1	-1.462228591	0.716232288
LOC112582457	NA	NA
TRNAK-CUU_29	NA	NA
LOC112582106	NA	NA
LOC112582243	NA	NA
LOC112582139	NA	NA
LOC123331936	NA	NA
LOC102405093	NA	NA
LOC102397184	NA	NA
LOC102409755	NA	NA
LOC112582713	-2.101251148	0.597680028
LOC102397835	NA	NA
LOC112582103	-0.273517085	0.935865739
LOC102396263	NA	NA
NR0B1	NA	NA
LOC112582299	NA	NA
TRNAG-UCC_154	NA	NA
LOC123331781	NA	NA
LOC112582399	NA	NA
LOC102398589	2.302328132	0.569462648
TRNAC-ACA_232	NA	NA
TRNAS-GGA_120	NA	NA
LOC123331881	2.302328132	0.569462648
LOC123465388	NA	NA
LOC123331793	NA	NA
LOC102401192	NA	NA
LOC112582233	NA	NA
LOC102400870	NA	NA
LOC123331763	3.796271327	0.282773568
LOC102411110	NA	NA
LOC123465400	NA	NA
LOC123331814	NA	NA
LOC102411437	NA	NA
TRNAR-ACG_25	NA	NA
LOC123331816	-0.379690234	0.925863404
LOC123331815	NA	NA
LOC102411206	NA	NA
LOC102416591	NA	NA
LOC112582145	3.611097704	0.331107999
CFAP47	-0.831600004	0.828594157
LOC112582387	NA	NA
LOC112582203	-2.991436382	0.427526015
LOC123331765	-2.819382664	0.470996046
TRNAG-CCC_231	-1.690498551	0.67302499
LOC102390123	-2.819382664	0.470996046
LOC102391137	-0.379690234	0.925863404
LOC112582105	NA	NA
LOC102391476	NA	NA
LOC102391795	NA	NA
LOC102392127	NA	NA
LOC102413936	NA	NA
TRNAR-UCU_21	-1.462228591	0.716232288
TRNAG-CCC_232	-2.65786565	0.501871386
TRNAS-GGA_121	NA	NA
LOC112582450	NA	NA
LOC102392276	NA	NA
LOC123332020	NA	NA
LOC102404502	NA	NA
TRNAG-UCC_155	NA	NA
LOC123331891	NA	NA
LOC123331893	NA	NA
LOC112582215	NA	NA
LOC102407871	NA	NA
LOC123331905	NA	NA
LOC123331842	NA	NA
LOC123331914	NA	NA
LOC112582182	NA	NA
LOC123331823	NA	NA
LOC123331790	-1.11340814	0.783574824
MPC1L	NA	NA
TRNAE-UUC_173	3.249319242	0.414680485
LOC123331835	NA	NA
TRNAG-CCC_233	NA	NA
LOC112582121	NA	NA
LOC123332013	-1.11340814	0.783574824
LOC123332015	NA	NA
TRNAG-UCC_156	-2.055097825	0.605968813
LOC123332014	NA	NA
LOC123331729	NA	NA
LOC112582394	NA	NA
PPP1R2C	NA	NA
TRNAW-CCA_174	NA	NA
LOC102405929	-2.367975131	0.550770936
TRNAG-CCC_234	NA	NA
TRNAW-CCA_175	NA	NA
LOC112582357	-1.11340814	0.783574824
TRNAG-CCC_235	NA	NA
TRNAG-CCC_236	NA	NA
DUSP21	-0.379690234	0.925863404
LOC112582267	3.611097704	0.331107999
LOC112582372	NA	NA
TRNAR-CCU_48	NA	NA
LOC112582260	-1.256246514	0.755843708
TRNAC-ACA_233	2.222896913	0.583297934
LOC102413769	NA	NA
LOC112582207	NA	NA
TRNAH-AUG_9	NA	NA
TRNAC-ACA_234	NA	NA
TRNAC-GCA_240	NA	NA
LOC112582397	-0.379690234	0.925863404
LOC102407513	NA	NA
ZC3H12B	1.121138638	0.778325157
LOC123332023	NA	NA
LOC102402403	NA	NA
LOC102406267	NA	NA
SPIN3	NA	NA
LOC112582463	NA	NA
TRNAE-UUC_174	NA	NA
FOXR2	NA	NA
TRNAG-GCC_68	NA	NA
LOC112582427	NA	NA
LOC112582424	-0.379690234	0.925863404
ITIH6	-1.462228591	0.716232288
LOC112582407	NA	NA
TRNAS-GGA_122	NA	NA
LOC123331963	0.63304343	0.788606939
LOC112582391	NA	NA
LOC102412105	NA	NA
LOC123331829	NA	NA
TRNAG-CCC_237	NA	NA
LOC112582350	-0.379690234	0.925863404
LOC112582349	-2.681662326	0.497960182
LOC112582346	-2.47429368	0.532573403
LOC112582348	-3.37005389	0.327006785
LOC123331970	NA	NA
LOC112582425	NA	NA
LOC112582282	-2.17961087	0.58371986
LOC112582426	NA	NA
LOC102413111	1.37921991	0.669485567
NUDT11	-2.101251148	0.597680028
LOC102409132	-2.367975131	0.550770936
BMP15	NA	NA
TRNAG-UCC_157	NA	NA
LOC112582383	NA	NA
DGKK	NA	NA
LOC123331802	NA	NA
LOC102414988	1.887892093	0.523695122
LOC123331994	NA	NA
LOC102409982	NA	NA
TRNAR-GCG_13	NA	NA
GLOD5	-2.94577832	0.438952419
TRNAR-GCG_14	NA	NA
LOC112582256	-0.249352377	0.937746283
LOC112582448	NA	NA
TRNAL-AAG_12	NA	NA
LOC123465412	-2.729879553	0.490084729
LOC102398303	NA	NA
TRNAG-CCC_238	NA	NA
ZNF157	-3.514223016	0.290223976
TRNAS-GGA_123	NA	NA
TRNAY-AUA_42	-2.819382664	0.470996046
LOC123332037	NA	NA
LOC102389121	NA	NA
LOC123331922	-1.256246514	0.755843708
LOC112582101	NA	NA
EDA2R	NA	NA
TRNAW-CCA_176	NA	NA
TRNAC-GCA_241	NA	NA
TRNAC-GCA_242	NA	NA
TRNAF-GAA_87	3.249319242	0.414680485
LOC112582452	NA	NA
LOC123331807	NA	NA
LOC123331775	NA	NA
AWAT2	-2.367975131	0.550770936
OTUD6A	NA	NA
AWAT1	NA	NA
P2RY4	-0.460441839	0.907262578
ARR3	NA	NA
LOC112582414	-1.11340814	0.783574824
LOC112582412	NA	NA
LOC112582422	NA	NA
TRNAC-ACA_235	NA	NA
SLC7A3	NA	NA
TRNAS-GGA_124	NA	NA
CXCR3	3.524888628	0.351568626
LOC102406512	NA	NA
LOC112582916	NA	NA
LOC123465399	-3.063566139	0.437455996
LOC123331918	NA	NA
LOC123331731	-2.101251148	0.597680028
TRNAG-UCC_158	NA	NA
TRNAW-CCA_177	-1.11340814	0.783574824
LOC112582454	-1.462228591	0.716232288
LOC112582440	NA	NA
LOC112582091	-3.450062104	0.310679902
LOC102412583	-1.292681267	0.744973987
LOC112582186	NA	NA
CDX4	NA	NA
LOC123331833	NA	NA
LOC123465401	NA	NA
ZCCHC13	-1.256246514	0.755843708
LOC112582458	NA	NA
LOC102408131	-1.462228591	0.716232288
LOC112582264	NA	NA
LOC123331742	NA	NA
LOC112582469	NA	NA
